simID,time,cellID,cellType,x,y
0,1500,95,B,4.043355157,2.820901518
0,1500,96,B,4.829668071,4.544680812
0,1500,97,B,8.980525802,9.087462806
0,1500,98,B,4.242468355,7.522704781
0,1500,99,B,9.378017984,2.837996937
0,1500,100,B,9.065005942,5.324686123
0,1750,1,A,4.259378649,6.055585643
0,1750,2,A,2.657836572,7.596891935
0,1750,3,A,8.337045641,6.967799946
0,1750,4,A,8.202001043,8.736539523
0,1750,5,A,9.59004645,7.979851112
0,1750,6,A,6.031338109,3.202564014
0,1750,7,A,9.258231532,1.984622936
0,1750,8,A,10.50957438,3.307741633
0,1750,9,A,7.466305645,9.565920153
0,1750,10,A,6.912751745,3.800250002
0,1750,11,A,7.123421882,10.37511078
0,1750,12,A,8.835548175,8.084192679
0,1750,13,A,6.207386408,9.089375934
0,1750,14,A,4.052172442,4.277957929
0,1750,15,A,2.566160696,4.372813025
0,1750,16,A,10.40597127,7.682689697
0,1750,17,A,6.716510462,4.725307626
0,1750,18,A,7.349792192,8.185746549
0,1750,19,A,3.743336,6.611545403
0,1750,20,A,10.37101703,4.019107622
0,1750,21,A,6.08449719,4.087924122
0,1750,22,A,3.487659916,10.7051827
0,1750,23,A,7.344358492,5.900553075
0,1750,24,A,6.414148426,9.956014178
0,1750,25,A,2.405423158,5.293685587
0,1750,26,A,4.266621419,5.173227298
0,1750,27,A,3.306317519,4.880442663
0,1750,28,A,6.598698933,5.504555691
0,1750,29,A,9.04370068,7.085948423
0,1750,30,A,6.830562048,2.857115369
0,1750,31,A,6.656490639,2.070500274
0,1750,32,A,10.49055266,6.693950807
0,1750,33,A,8.449742633,4.647390099
0,1750,34,A,8.723825979,4.028645367
0,1750,35,A,5.792680764,2.396885345
0,1750,36,A,7.913198732,7.745985213
0,1750,37,A,2.232228437,6.846070225
0,1750,38,A,6.844102879,7.255996067
0,1750,39,A,3.376390497,5.690927912
0,1750,40,A,6.448237938,8.131983195
0,1750,41,A,3.308686342,3.871103189
0,1750,42,A,3.233424513,7.067369143
0,1750,43,A,3.281176411,9.939094437
0,1750,44,A,4.240484466,9.989669442
0,1750,45,A,6.710611024,6.456466766
0,1750,46,A,4.395101863,10.79897028
0,1750,47,A,7.714528307,6.661554536
0,1750,48,A,2.538748385,6.149426752
0,1750,49,A,9.772109034,6.912869243
0,1750,50,A,7.063142235,8.949348835
0,1750,51,B,8.481490096,3.262376699
0,1750,52,B,4.54140239,9.20689529
0,1750,53,B,8.451764417,2.380361552
0,1750,54,B,9.334384397,10.17023892
0,1750,55,B,1.349192669,6.168812184
0,1750,56,B,7.693155503,3.890913739
0,1750,57,B,7.696602117,1.862424808
0,1750,58,B,3.336559178,2.88854614
0,1750,59,B,7.637028756,2.801377529
0,1750,60,B,4.852616031,2.621144287
0,1750,61,B,3.035526841,8.996288878
0,1750,62,B,9.803597775,8.820899721
0,1750,63,B,5.123396277,7.199909927
0,1750,64,B,3.445990338,8.145294814
0,1750,65,B,5.48214719,10.44407454
0,1750,66,B,4.649543527,8.134890483
0,1750,67,B,9.493697136,3.694127674
0,1750,68,B,5.773432511,6.306563377
0,1750,69,B,9.667977962,4.662827422
0,1750,70,B,9.935021166,5.759918447
0,1750,71,B,0.8419137717,4.906724848
0,1750,72,B,10.11100268,9.641789305
0,1750,73,B,8.219547441,5.589154395
0,1750,74,B,4.882571783,6.375842045
0,1750,75,B,7.600590659,4.927170326
0,1750,76,B,9.074118445,10.85450702
0,1750,77,B,1.43149996,5.462677275
0,1750,78,B,10.47143962,5.096601939
0,1750,79,B,5.574427954,8.093276042
0,1750,80,B,1.669615969,4.544995714
0,1750,81,B,8.40785789,9.621692632
0,1750,82,B,5.67423805,4.889814554
0,1750,83,B,1.397445263,6.923620623
0,1750,84,B,5.375395056,5.542293673
0,1750,85,B,8.150301835,10.42632031
0,1750,86,B,5.957918698,7.239292109
0,1750,87,B,5.268932633,3.675030379
0,1750,88,B,5.351024709,9.765510429
0,1750,89,B,4.45643589,3.502108882
0,1750,90,B,3.857387586,8.91670343
0,1750,91,B,11.15481072,4.676940092
0,1750,92,B,8.993161922,6.144404207
0,1750,93,B,5.318125213,8.907616902
0,1750,94,B,11.42035033,3.865334737
0,1750,95,B,4.014991839,2.763244344
0,1750,96,B,4.91217267,4.510356379
0,1750,97,B,9.124563399,9.25831259
0,1750,98,B,4.198915689,7.497011841
0,1750,99,B,9.429162381,2.856433862
0,1750,100,B,9.112220435,5.354784652
0,2000,1,A,4.231338177,5.91551802
0,2000,2,A,2.72345162,7.558424234
0,2000,3,A,8.332032385,6.790142667
0,2000,4,A,8.154688434,8.652567475
0,2000,5,A,9.492914605,7.971391242
0,2000,6,A,5.905467306,3.310424544
0,2000,7,A,9.375923401,1.968458963
0,2000,8,A,10.55635165,3.257050114
0,2000,9,A,7.609135981,9.455558881
0,2000,10,A,6.91464116,3.867324352
0,2000,11,A,7.195849584,10.22679144
0,2000,12,A,8.767818571,8.162999555
0,2000,13,A,6.217311076,9.063456539
0,2000,14,A,4.003398683,4.308894004
0,2000,15,A,2.452869369,4.360515278
0,2000,16,A,10.22485006,7.743601397
0,2000,17,A,6.750349944,4.845939112
0,2000,18,A,7.365582327,8.051126266
0,2000,19,A,3.746155956,6.609038775
0,2000,20,A,10.5602628,3.958227932
0,2000,21,A,6.15540991,4.222849895
0,2000,22,A,3.527003219,10.733876
0,2000,23,A,7.260719614,5.649675612
0,2000,24,A,6.475874147,9.817836295
0,2000,25,A,2.285251431,5.3076909
0,2000,26,A,4.137511168,5.111506301
0,2000,27,A,3.174438942,4.88356036
0,2000,28,A,6.341395414,5.640848927
0,2000,29,A,8.98575852,7.096655128
0,2000,30,A,6.784816082,2.982574318
0,2000,31,A,6.646721325,2.114647884
0,2000,32,A,10.4636064,6.789202682
0,2000,33,A,8.415469098,4.698983306
0,2000,34,A,8.800458544,4.172282763
0,2000,35,A,5.905135145,2.469598539
0,2000,36,A,7.903712278,7.536804565
0,2000,37,A,2.189206001,6.836545207
0,2000,38,A,6.905823876,7.22702499
0,2000,39,A,3.272787394,5.786028633
0,2000,40,A,6.453627822,8.121788938
0,2000,41,A,3.239848855,3.92471823
0,2000,42,A,3.245075926,7.042806705
0,2000,43,A,3.279193556,9.859404545
0,2000,44,A,4.122463526,9.975440547
0,2000,45,A,6.662931282,6.459581064
0,2000,46,A,4.426705533,10.72680237
0,2000,47,A,7.627176109,6.476722353
0,2000,48,A,2.439868828,6.097467749
0,2000,49,A,9.700964751,6.834321991
0,2000,50,A,7.114604598,8.85759298
0,2000,51,B,8.597734982,3.283056383
0,2000,52,B,4.6328314,9.30490799
0,2000,53,B,8.43467818,2.362402678
0,2000,54,B,9.279537873,10.17377751
0,2000,55,B,1.32034462,6.156204218
0,2000,56,B,7.773353577,3.795795926
0,2000,57,B,7.570703284,1.963837252
0,2000,58,B,3.388356814,3.002600577
0,2000,59,B,7.680935691,2.912388727
0,2000,60,B,4.945210453,2.82913512
0,2000,61,B,2.911448741,8.836804654
0,2000,62,B,9.918017247,8.847711914
0,2000,63,B,5.089148184,7.436750417
0,2000,64,B,3.46407298,8.135006414
0,2000,65,B,5.410451129,10.54623316
0,2000,66,B,4.502577804,8.322691767
0,2000,67,B,9.516146123,3.60312226
0,2000,68,B,5.687071145,6.255493415
0,2000,69,B,9.811256395,4.482164684
0,2000,70,B,10.00270013,5.854856992
0,2000,71,B,0.6864886481,5.020184416
0,2000,72,B,9.916611937,9.685473093
0,2000,73,B,8.282785248,5.602189486
0,2000,74,B,4.850766576,6.609815008
0,2000,75,B,7.640468834,4.846464491
0,2000,76,B,8.980622451,10.97589856
0,2000,77,B,1.108029464,5.549500409
0,2000,78,B,10.41911375,5.119161594
0,2000,79,B,5.579146872,8.1025493
0,2000,80,B,1.551916231,4.642275565
0,2000,81,B,8.453257465,9.779629107
0,2000,82,B,5.610479725,4.919574483
0,2000,83,B,1.270948708,6.901730138
0,2000,84,B,5.09002204,5.677199713
0,2000,85,B,8.132442108,10.55791829
0,2000,86,B,5.964521979,7.168956865
0,2000,87,B,5.24967717,3.76342384
0,2000,88,B,5.372644378,9.826922822
0,2000,89,B,4.281321093,3.539985781
0,2000,90,B,3.77316834,8.926871649
0,2000,91,B,11.13538278,4.854712311
0,2000,92,B,9.028538336,6.03554935
0,2000,93,B,5.359469069,8.87495318
0,2000,94,B,11.47821615,4.072011334
0,2000,95,B,4.134377805,2.562435048
0,2000,96,B,4.899951887,4.556872967
0,2000,97,B,9.021041832,9.175199471
0,2000,98,B,4.187580753,7.470445047
0,2000,99,B,9.427115612,2.799277126
0,2000,100,B,9.308389415,5.199038215
0,2250,1,A,4.254655103,5.818463647
0,2250,2,A,2.719817639,7.413762498
0,2250,3,A,8.339865598,6.631911758
0,2250,4,A,8.231453925,8.734659551
0,2250,5,A,9.376983047,8.002410767
0,2250,6,A,5.99596877,3.562133994
0,2250,7,A,9.286060094,1.944195761
0,2250,8,A,10.69166027,3.274521759
0,2250,9,A,7.703228552,9.520534051
0,2250,10,A,6.954652556,3.803994543
0,2250,11,A,7.01127982,10.18191139
0,2250,12,A,8.728797632,8.269983885
0,2250,13,A,6.35190941,8.837754089
0,2250,14,A,3.853940972,4.166016192
0,2250,15,A,2.338470046,4.496185742
0,2250,16,A,10.17640695,7.761415466
0,2250,17,A,6.8361739,4.84334207
0,2250,18,A,7.317717063,8.051441174
0,2250,19,A,3.803935004,6.386838204
0,2250,20,A,10.62810388,3.962665974
0,2250,21,A,6.171784869,4.452729121
0,2250,22,A,3.748662585,10.80137456
