"time"	"cell.id"	"boundary"	"b"	"b2"	"time"
40	23	1246.051227	5	22.09178228	40
40	24	1246.051227	1	5.336179296	40
40	25	1246.051227	4	39.86125934	40
40	26	1246.051227	2	9.445037353	40
40	27	1246.051227	4	25.773746	40
40	28	1246.051227	3	35.00533618	40
40	29	1246.051227	2	11.79295624	40
40	30	1246.051227	3	32.44397012	40
40	31	1246.051227	1	7.95090715	40
40	32	1246.051227	2	39.70117396	40
40	33	1246.051227	5	36.92636073	40
40	34	1246.051227	5	34.25827108	40
40	35	1246.051227	1	10.29882604	40
40	36	1246.051227	3	12.54002134	40
40	37	1246.051227	4	44.39701174	40
40	38	1246.051227	3	15.95517609	40
40	39	1246.051227	2	13.39381003	40
40	40	1246.051227	3	16.11526147	40
40	41	1246.051227	4	38.74066169	40
40	42	1246.051227	4	35.48559232	40
40	43	1246.051227	2	20.06403415	40
40	44	1246.051227	3	27.48132337	40
40	45	1246.051227	4	23.26574173	40
40	46	1246.051227	2	24.226254	40
40	47	1246.051227	4	40.1280683	40
40	48	1246.051227	2	19.85058698	40
40	49	1246.051227	3	38.84738527	40
40	50	1246.051227	3	25.0266809	40
40	51	1246.051227	2	7.470651014	40
40	52	1246.051227	1	8.644610459	40
40	53	1246.051227	2	27.64140875	40
40	54	1246.051227	3	5.336179296	40
40	55	1246.051227	4	31.43009605	40
40	56	1246.051227	4	20.91782284	40
40	57	1246.051227	3	30.84311633	40
40	58	1246.051227	2	27.00106724	40
40	59	1246.051227	3	26.78762006	40
40	60	1246.051227	2	18.56990395	40
40	61	1246.051227	4	46.42475987	40
40	62	1246.051227	5	29.08217716	40
40	63	1246.051227	0	0	40
40	64	1246.051227	4	45.4642476	40
40	65	1246.051227	4	20.38420491	40
40	66	1246.051227	1	11.89967983	40
40	67	1246.051227	3	33.03094984	40
40	68	1246.051227	4	26.09391676	40
40	69	1246.051227	3	13.18036286	40
40	70	1246.051227	4	27.37459979	40
40	71	1246.051227	2	13.71398079	40
40	72	1246.051227	2	6.403415155	40
40	73	1246.051227	5	28.8153682	40
40	74	1246.051227	1	6.403415155	40
40	75	1246.051227	4	52.66808965	40
40	76	1246.051227	1	10.99252935	40
40	77	1246.051227	2	17.60939168	40
40	78	1246.051227	3	50.37353255	40
40	79	1246.051227	3	26.14727855	40
40	80	1246.051227	6	47.97225187	40
40	81	1246.051227	6	39.06083244	40
40	82	1246.051227	3	18.99679829	40
40	83	1246.051227	2	22.25186766	40
40	84	1246.051227	4	27.2678762	40
40	85	1246.051227	3	18.46318036	40
40	86	1246.051227	5	27.64140875	40
40	87	1246.051227	3	36.87299893	40
40	88	1246.051227	5	36.3927428	40
40	89	1246.051227	2	18.30309498	40
40	90	1246.051227	4	37.62006403	40
40	91	1246.051227	3	28.0149413	40
40	92	1246.051227	5	45.83778015	40
40	93	1246.051227	2	20.22411953	40
40	94	1246.051227	2	19.47705443	40
40	95	1246.051227	2	23.31910352	40
40	96	1246.051227	3	17.82283885	40
40	97	1246.051227	2	10.45891142	40
40	98	1246.051227	2	23.90608324	40
40	99	1246.051227	2	21.87833511	40
40	100	1246.051227	6	33.56456777	40

50	1	1163.127001	4	31.85699039	50
50	2	1163.127001	2	21.2379936	50
50	3	1163.127001	4	30.20277481	50
50	4	1163.127001	5	12.43329776	50
50	5	1163.127001	2	13.18036286	50
50	6	1163.127001	2	20.38420491	50
50	7	1163.127001	4	28.92209178	50
50	8	1163.127001	4	39.43436499	50
50	9	1163.127001	3	12.27321238	50
50	10	1163.127001	3	15.31483458	50
50	11	1163.127001	4	29.40234792	50
50	12	1163.127001	2	6.723585912	50
50	13	1163.127001	3	24.49306297	50
50	14	1163.127001	3	23.26574173	50
50	15	1163.127001	3	22.94557097	50
50	16	1163.127001	0	0	50
50	17	1163.127001	4	43.86339381	50
50	18	1163.127001	2	24.75987193	50
50	19	1163.127001	5	44.18356457	50
50	20	1163.127001	5	29.40234792	50
50	21	1163.127001	4	33.3511206	50
50	22	1163.127001	1	0.05336179296	50
50	23	1163.127001	5	22.30522946	50
50	24	1163.127001	1	5.176093917	50
50	25	1163.127001	4	37.40661686	50
50	26	1163.127001	2	11.95304162	50
